Layer	PeoplePromise	theme	SubTheme	FurtherSubTheme	routingownersecondary	Notes
3	-	motivation	-	-	CIRG	
3	-	MSK problems	-	-	PERRG	
3	-	national NHS issues	-	-	PEGG	
3	-	no energy	-	-	PERRG	
3	-	no fear	-	-	CIRG	
3	-	non-clinical undervalued	-	-	CIRG	
3	-	nutritious food	-	-	PERRG	
3	-	opportunities to contribute	-	-	PEGG	
3	-	organisational blockers	-	-	PEGG	
3	-	organisational follow-through	-	-	CIRG	
3	-	organisational layers	-	-	CIRG	
3	-	organisational prioritisation	-	-	CIRG	
3	-	organisational recognition	-	-	CIRG	
3	-	organisational reliability	-	-	CIRG	
3	-	organisational reputation	-	-	PERRG	
3	-	organisational responsiveness	-	-	CIRG	
3	-	organisational support	-	-	PEGG	
3	-	organisational teamwork	-	-	CIRG	
3	-	organisational values	-	-	CIRG	
3	-	overlooked	-	-	CIRG	
3	-	overlooked by manager	-	-	CIRG	
3	-	overlooked by peers	-	-	CIRG	
3	-	overwhelmed	-	-	PERRG	
3	-	pace of work	-	-	PERRG	
3	-	pandemic effects	-	-	PERRG	
3	-	partnership	-	-	CIRG	
3	-	passion	-	-	CIRG	
3	-	patient care	-	-	PERRG	
3	-	patient concerns ignored	-	-	CIRG	
3	-	patient experience	-	-	PERRG	
3	-	patient feedback	-	-	PERRG	
3	-	pay concerns	-	-	CIRG	
3	-	pay structure	-	-	CIRG	
3	-	peer appreciation	-	-	CIRG	
3	-	physical harm	-	-	PERRG	
3	-	physical strain	-	-	PERRG	
3	-	planning to leave	-	-	PERRG	
3	-	polite behaviour	-	-	CIRG	
3	-	poor infrastructure	-	-	PERRG	
3	-	poor working relationships	-	-	CIRG	
3	-	positive anticipation	-	-	CIRG	
3	-	positive energy	-	-	CIRG	
3	-	positive focus	-	-	CIRG	
3	-	positive reinforcement	-	-	CIRG	
3	-	positive relationships	-	-	CIRG	
3	-	potential growth	-	-	PEGG	
3	-	practical support	-	-	PEGG	
3	-	praise	-	-	CIRG	
3	-	prescriptive procedures	-	-	PERRG	
3	-	presenteeism	-	-	PERRG	
3	-	pressure	-	-	PERRG	
3	-	pressure to complete tasks quickly	-	-	PERRG	
3	-	previous negative experiences	-	-	CIRG	
3	-	pride	-	-	CIRG	
3	-	priorities shifting	-	-	PERRG	
3	-	problem solving	-	-	PEGG	
3	-	progression opportunities	-	-	CIRG	
3	-	protected characteristics	-	-	CIRG	
3	-	psychological safety	-	-	CIRG	
3	-	purpose	-	-	CIRG	
3	-	racism	-	-	CIRG	
3	-	recognition	-	-	CIRG	
3	-	recognition from colleagues	-	-	CIRG	
3	-	recognition imbalance	-	-	CIRG	
3	-	reflective practice	-	-	CIRG	
3	-	reluctance to speak up	-	-	CIRG	
3	-	reporting bullying	-	-	CIRG	
3	-	reporting harassment	-	-	CIRG	
3	-	reporting violence	-	-	CIRG	
3	-	resource allocation	-	-	PERRG	
3	-	respect	-	-	CIRG	
3	-	responsiveness	-	-	CIRG	
3	-	review completed	-	-	CIRG	
3	-	rigid processes	-	-	PERRG	
3	-	rising costs	-	-	CIRG	
3	-	role clarity	-	-	CIRG	
3	-	role understanding	-	-	CIRG	
3	-	rushing	-	-	PERRG	
3	-	safe to speak	-	-	CIRG	
3	-	safety	-	-	PERRG	
3	-	salary issues	-	-	CIRG	
3	-	senior decision-making	-	-	CIRG	
3	-	senior engagement	-	-	CIRG	
3	-	senior management issues	-	-	CIRG	
